Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,keywords,release date,mentions before,total posts before,normalized mentions before,upvotes before,mentions after,total posts after,normalized mentions after,upvotes after,month
Gran Turismo 5,PS3,2010,Racing,Sony Computer Entertainment,5.92,9.64,1.62,4.22,21.4,84.0,164.0,7.5,2224.0,Polyphony Digital,E,"Gran Turismo 5,Gran Turismo",11/24/2010,92,13043,0.007053591999999998,994,124,15638,0.007929403,934,Nov
Call of Duty: Ghosts,Xbox 360,2013.0,Shooter,Activision,6.73,2.56,0.04,0.91,10.25,73.0,29.0,2.6,2117.0,Infinity Ward,M,"Ghosts,Call of Duty,CoD,Call of Duty: Ghosts",11/5/2013,794,40860,0.019432208,26682,2070,53064,0.039009498,61867,Nov
Call of Duty: Ghosts,PS3,2013.0,Shooter,Activision,4.1,3.63,0.38,1.25,9.36,71.0,10.0,2.6,1047.0,Infinity Ward,M,"Ghosts,Call of Duty,CoD,Call of Duty: Ghosts",11/5/2013,794,40860,0.019432208,26682,2070,53064,0.039009498,61867,Nov
Call of Duty: Ghosts,PS4,2013.0,Shooter,Activision,1.78,1.43,0.05,0.57,3.83,78.0,49.0,3.7,1564.0,Infinity Ward,M,"Ghosts,Call of Duty,CoD,Call of Duty: Ghosts",11/5/2013,794,40860,0.019432208,26682,2070,53064,0.039009498,61867,Nov
Call of Duty: Ghosts,Xbox One,2013.0,Shooter,Activision,1.88,0.77,0.0,0.27,2.92,78.0,7.0,4.3,700.0,Infinity Ward,M,"Ghosts,Call of Duty,CoD,Call of Duty: Ghosts",11/5/2013,794,40860,0.019432208,26682,2070,53064,0.039009498,61867,Nov
Call of Duty: Ghosts,Windows,2013.0,Shooter,Activision,0.23,0.41,0.0,0.05,0.7,,,,,,,"Ghosts,Call of Duty,CoD,Call of Duty: Ghosts",11/5/2013,794,40860,0.019432208,26682,2070,53064,0.039009498,61867,Nov
Call of Duty: Ghosts,Wii U,2013.0,Shooter,Activision,0.22,0.09,0.01,0.03,0.34,69.0,6.0,3.4,256.0,Treyarch,M,"Ghosts,Call of Duty,CoD,Call of Duty: Ghosts",11/5/2013,794,40860,0.019432208,26682,2070,53064,0.039009498,61867,Nov
Just Dance 3,Wii,2011.0,Misc,Ubisoft,5.95,3.11,0.0,1.06,10.12,74.0,15.0,7.8,16.0,Ubisoft,E10+,"Just Dance 3,Just Dance",10/7/2011,2,28524,7.01e-05,1,10,36164,0.000276518,9,Oct
Just Dance 3,Xbox 360,2011.0,Misc,Ubisoft,1.47,0.39,0.0,0.16,2.02,70.0,34.0,7.7,17.0,Ubisoft,E10+,"Just Dance 3,Just Dance",10/7/2011,2,28524,7.01e-05,1,10,36164,0.000276518,9,Oct
Just Dance 3,PS3,2011.0,Misc,Ubisoft,0.33,0.2,0.0,0.09,0.62,75.0,5.0,6,7.0,Ubisoft,E10+,"Just Dance 3,Just Dance",10/7/2011,2,28524,7.01e-05,1,10,36164,0.000276518,9,Oct
