,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,keywords
301,Dragon's Dogma,PS3,2012.0,Role-Playing,Capcom,0.41,0.44,0.72,0.17,1.74,78.0,38.0,8.3,444.0,Capcom,M,Dragon's Dogma
302,The Order: 1886,PS4,2015.0,Shooter,Sony Computer Entertainment,0.61,0.78,0.06,0.27,1.74,63.0,94.0,6.6,3172.0,"Ready at Dawn, SCE Santa Monica",M,"The Order,The Order: 1886,The Order:,1886"
303,Knack,PS4,2013.0,Platform,Sony Computer Entertainment Europe,0.43,0.68,0.42,0.2,1.73,54.0,83.0,6.5,1074.0,SCE Japan Studio,E10+,Knack
304,Dragon Quest VI: Realms of Revelation,DS,2010.0,Role-Playing,Nintendo,0.2,0.14,1.35,0.03,1.73,78.0,41.0,8.1,31.0,ArtePiazza,T,"Dragon Quest VI: Realms of Revelation,Realms of Revelation,Dragon Quest VI"
305,Hitman: Absolution,Xbox 360,2012.0,Action,Square Enix,0.68,0.88,0.01,0.17,1.73,79.0,51.0,7.1,453.0,Io Interactive,M,"Hitman,Hitman: Absolution,Absolution"
306,The Crew,PS4,2014.0,Racing,Ubisoft,0.35,1.08,0.03,0.26,1.72,61.0,60.0,5.4,575.0,"Ubisoft Reflections, Ivory Tower",T,The Crew
307,NBA 2K15,Xbox One,2014.0,Sports,Take-Two Interactive,1.37,0.18,0.0,0.18,1.72,82.0,9.0,6.3,101.0,Visual Concepts,E,"NBA 2K15,NBA"
308,Call of Duty: Modern Warfare 3,Windows,2011.0,Shooter,Activision,0.41,0.98,0.0,0.32,1.72,78.0,26.0,2.5,5664.0,"Infinity Ward, Sledgehammer Games",M,"Modern Warfare 3,Call of Duty: Modern Warfare,CoD,Call of Duty,Call of Duty: Modern Warfare 3"
309,Dishonored,Xbox 360,2012.0,Action,Bethesda Softworks,1.06,0.5,0.01,0.14,1.71,88.0,56.0,7.9,815.0,Arkane Studios,M,Dishonored
310,Call of Duty: Black Ops 3,Xbox 360,2015.0,Shooter,Activision,1.14,0.4,0.0,0.16,1.71,,,,,,,"Call of Duty: Black Ops 3,Call of Duty: Black Ops,Black Ops 3,Call of Duty,CoD"
311,Portal 2,PS3,2011.0,Shooter,Valve,0.83,0.6,0.02,0.24,1.7,95.0,54.0,8.4,937.0,Valve Software,E10+,"Portal 2,Portal"
312,The Sims 3: Late Night Expansion Pack,Windows,2010.0,Simulation,Electronic Arts,0.59,0.87,0.0,0.23,1.7,74.0,17.0,5.3,77.0,The Sims Studio,T,"The Sims 3: Late Night Expansion Pack,The Sims 3,Sims,Late Night Expansion Pack"
313,No Man's Sky,PS4,2016.0,Action,Hello Games,0.63,0.76,0.03,0.27,1.7,71.0,94.0,4.5,5096.0,Hello Games,T,No Man's Sky
314,BioShock Infinite,PS3,2013.0,Shooter,Take-Two Interactive,0.72,0.65,0.04,0.28,1.69,94.0,27.0,8.5,1863.0,Irrational Games,M,BioShock Infinite
315,Call of Duty: Black Ops 3,PS3,2015.0,Shooter,Activision,0.49,0.87,0.07,0.26,1.69,,,,,,,"Call of Duty: Black Ops 3,Call of Duty: Black Ops,Black Ops 3,Call of Duty,CoD"
316,Sonic Colors,Wii,2010.0,Platform,Sega,0.92,0.6,0.01,0.15,1.68,78.0,58.0,8.5,301.0,Sonic Team,E,"Sonic,Sonic Colors"
317,Sid Meier's Civilization V,Windows,2010.0,Strategy,Take-Two Interactive,0.98,0.52,0.0,0.17,1.68,90.0,70.0,7.9,2280.0,Firaxis Games,E10+,"Civilization,Sid Meier's Civilization,Civ,Sid Meier's Civilization V"
318, Fire Emblem Fates,3DS,2015.0,Role-Playing,Nintendo,0.81,0.23,0.52,0.11,1.68,,,,,,,"Fire Emblem, Fire Emblem Fates"
319,StarCraft II: Heart of the Swarm,Windows,2013.0,Strategy,Activision,0.83,0.66,0.0,0.18,1.67,86.0,68.0,7.9,1346.0,Blizzard Entertainment,T,"StarCraft II,Heart of the Swarm,StarCraft II: Heart of the Swarm"
320,Until Dawn,PS4,2015.0,Adventure,Sony Computer Entertainment Europe,0.45,0.9,0.05,0.26,1.66,79.0,103.0,8.2,2161.0,SuperMassive Games,M,Until Dawn
321,Saints Row IV,Xbox 360,2013.0,Action,Deep Silver,1.01,0.5,0.01,0.13,1.66,81.0,42.0,6.5,325.0,Volition Inc.,M,"Saints Row IV,Saints Row"
322,LEGO Batman 2: DC Super Heroes,Xbox 360,2012.0,Action,Warner Bros. Interactive Entertainment,0.9,0.61,0.0,0.15,1.66,79.0,59.0,7.2,114.0,TT Games,E10+,"Batman,DC Super Heroes,LEGO Batman 2: DC Super Heroes,LEGO Batman 2"
323,Dark Souls III,PS4,2016.0,Role-Playing,Namco Bandai Games,0.65,0.45,0.34,0.22,1.65,89.0,69.0,8.8,1940.0,From Software,M,"Dark Souls III,Dark Souls"
324,Kirby's Return to Dreamland,Wii,2011.0,Platform,Nintendo,0.58,0.21,0.79,0.07,1.65,77.0,49.0,8.5,156.0,HAL Labs,E10+,"Kirby's Return to Dreamland,Kirby"
325,Far Cry 4,Xbox One,2014.0,Shooter,Ubisoft,0.8,0.69,0.01,0.14,1.63,82.0,15.0,7.5,383.0,Ubisoft Montreal,M,"Far Cry,Far Cry 4"
326,Beyond: Two Souls,PS3,2013.0,Adventure,Sony Computer Entertainment,0.52,0.8,0.06,0.26,1.63,70.0,98.0,8.1,2652.0,Quantic Dream,M,"Beyond: Two Souls,Beyond,Two Souls"
327,NBA 2K15,Xbox 360,2014.0,Sports,Take-Two Interactive,1.35,0.11,0.0,0.17,1.63,,,3,40.0,Visual Concepts,E,"NBA 2K15,NBA"
328,Max Payne 3,Xbox 360,2012.0,Shooter,Take-Two Interactive,0.86,0.62,0.01,0.13,1.62,86.0,80.0,7.8,869.0,Rockstar Studios,M,"Max Payne 3,Max Payne"
329,Kinectimals,Xbox 360,2010.0,Simulation,Microsoft Game Studios,1.02,0.46,0.0,0.13,1.62,74.0,50.0,3.1,69.0,Frontier Developments,E,Kinectimals
330,LEGO Marvel Super Heroes,PS4,2013.0,Action,Warner Bros. Interactive Entertainment,0.59,0.76,0.01,0.26,1.62,83.0,22.0,7.7,262.0,TT Games,E10+,"Marvel,LEGO Marvel Super Heroes"
331,Destiny,PS3,2014.0,Shooter,Activision,0.68,0.56,0.12,0.25,1.62,,,4.5,445.0,Bungie,T,Destiny
332,Rage,Xbox 360,2011.0,Shooter,Bethesda Softworks,0.82,0.6,0.03,0.15,1.6,81.0,77.0,6.7,559.0,id Software,M,Rage
333,Just Cause 2,Xbox 360,2010.0,Action,Square Enix,0.59,0.83,0.02,0.17,1.6,81.0,74.0,8,267.0,Avalanche Studios,M,"Just Cause,Just Cause 2"
334,Disney Infinity,Wii,2013.0,Action,Disney Interactive Studios,1.05,0.41,0.0,0.14,1.6,,,4.2,24.0,Avalanche Software,E10+,Disney Infinity
335,Kingdom Hearts 3D: Dream Drop Distance,3DS,2012.0,Action,Square Enix,0.88,0.26,0.34,0.1,1.58,75.0,54.0,8.2,267.0,Square Enix,E10+,"KH,Kingdom Hearts 3D: Dream Drop Distance,Kingdom Hearts 3D,Dream Drop Distance"
336,Sonic Generations,PS3,2011.0,Platform,Sega,0.6,0.69,0.02,0.26,1.58,76.0,38.0,8.2,253.0,Sega,E,"Sonic Generations,Sonic"
337,Mario Party 10,Wii U,2015.0,Misc,Nintendo,0.69,0.53,0.24,0.12,1.58,66.0,66.0,6.5,279.0,"Nintendo, Nd Cube",E,"Mario,Mario Party,Mario Party 10"
338,Dead Rising 3,Xbox One,2013.0,Action,Microsoft Game Studios,1.06,0.35,0.01,0.15,1.57,78.0,69.0,6.8,908.0,Capcom Vancouver,M,"Dead Rising,Dead Rising 3"
339,Gears of War: Judgment,Xbox 360,2013.0,Shooter,Microsoft Game Studios,0.92,0.5,0.03,0.12,1.57,79.0,81.0,5.4,779.0,Epic Games,M,"Gears,Gears of War: Judgment,Gears of War,Judgment"
340,Watch Dogs,Xbox One,2014.0,Action,Ubisoft,0.9,0.53,0.0,0.14,1.57,78.0,15.0,5.8,712.0,Ubisoft Montreal,M,Watch Dogs
341,FIFA 16,Xbox 360,2015.0,Sports,Electronic Arts,0.57,0.88,0.0,0.12,1.57,,,2.9,45.0,EA Sports,E,"FIFA,FIFA 16"
342,Madden NFL 15,Xbox One,2014.0,Sports,Electronic Arts,1.31,0.09,0.0,0.16,1.57,80.0,19.0,6.4,138.0,EA Sports,E,"Madden NFL 15,Madden,Madden NFL"
343,Need for Speed: Most Wanted,Xbox 360,2012.0,Racing,Electronic Arts,0.62,0.78,0.01,0.15,1.56,83.0,54.0,8.5,134.0,EA Canada,T,"Need for Speed,Need for Speed: Most Wanted,Most Wanted"
344,LEGO Pirates of the Caribbean: The Video Game,Wii,2011.0,Action,Disney Interactive Studios,0.73,0.67,0.0,0.15,1.55,73.0,14.0,7,13.0,Traveller's Tales,E10+,"LEGO Pirates of the Caribbean: The Video Game,LEGO Pirates of the Caribbean,The Video Game"
345,LEGO Harry Potter: Years 1-4,Xbox 360,2010.0,Action,Warner Bros. Interactive Entertainment,0.95,0.46,0.0,0.14,1.55,79.0,58.0,8,62.0,Traveller's Tales,E10+,"LEGO Harry Potter: Years 1-4,Years 1-4,LEGO Harry Potter"
346,Wolfenstein: The New Order,PS4,2014.0,Shooter,Bethesda Softworks,0.47,0.8,0.03,0.24,1.55,79.0,73.0,8.1,1116.0,MachineGames,M,"The New Order,Wolfenstein,Wolfenstein: The New Order"
347,Mafia II,Xbox 360,2010.0,Action,Take-Two Interactive,0.85,0.55,0.0,0.15,1.55,74.0,79.0,7.8,458.0,2K Czech,M,"Mafia II,Mafia"
348,Moshi Monsters: Moshling Zoo,DS,2011.0,Misc,Activision,0.37,0.96,0.0,0.21,1.54,,,tbd,,Mind Candy,E,"Moshi Monsters,Moshi Monsters: Moshling Zoo,Moshling Zoo"
349,BioShock 2,PS3,2010.0,Shooter,Take-Two Interactive,0.85,0.46,0.02,0.22,1.54,88.0,62.0,8.2,492.0,2K Marin,M,"BioShock,BioShock 2"
350,Ratchet & Clank (2016),PS4,2016.0,Platform,Sony Computer Entertainment,0.5,0.76,0.04,0.24,1.54,,,,,,,"Ratchet & Clank (2016),Ratchet & Clank"
351,Uncharted: Golden Abyss,Vita,2011.0,Shooter,Sony Computer Entertainment,0.53,0.66,0.13,0.22,1.53,80.0,80.0,7.4,770.0,"Naughty Dog, Sony Bend",T,"Uncharted: Golden Abyss,Uncharted,Golden Abyss"
352,Go Vacation,Wii,2011.0,Misc,Namco Bandai Games,0.42,0.65,0.33,0.14,1.53,64.0,28.0,7.8,13.0,Namco Bandai Games,E10+,Go Vacation
353,Pro Evolution Soccer 2013,PS3,2012.0,Sports,Konami Digital Entertainment,0.18,0.63,0.49,0.24,1.53,82.0,37.0,6.7,146.0,Konami,E,"Pro Evolution Soccer,Pro Evolution Soccer 2013"
354,Dishonored,PS3,2012.0,Action,Bethesda Softworks,0.72,0.52,0.04,0.25,1.53,89.0,35.0,7.9,781.0,Arkane Studios,M,Dishonored
355,Call of Duty: Black Ops II,Windows,2012.0,Shooter,Activision,0.64,0.69,0.0,0.19,1.53,74.0,11.0,4.2,1635.0,Treyarch,M,"Call of Duty: Black Ops,Call of Duty,CoD,Call of Duty: Black Ops II,Black Ops II"
356,Donkey Kong Country: Tropical Freeze,Wii U,2014.0,Platform,Nintendo,0.7,0.55,0.16,0.12,1.52,83.0,77.0,8.9,712.0,Retro Studios,E,"Donkey Kong,Donkey Kong Country,Tropical Freeze,Donkey Kong Country: Tropical Freeze"
357,Final Fantasy XIV: A Realm Reborn,Windows,2010.0,Role-Playing,Square Enix,0.88,0.48,0.0,0.17,1.52,,,,,,,"A Realm Reborn,Final Fantasy XIV,Final Fantasy XIV: A Realm Reborn,Final Fantasy"
358,Dead Space 2,Xbox 360,2011.0,Shooter,Electronic Arts,0.94,0.44,0.0,0.13,1.51,90.0,83.0,8.6,679.0,Visceral Games,M,"Dead Space,Dead Space 2"
359,Football Manager 2012,Windows,2011.0,Sports,Sega,0.02,1.16,0.0,0.33,1.51,84.0,45.0,8,172.0,Sports Interactive,E,"Football Manager,Football Manager 2012"
360,Ni no Kuni: Wrath of the White Witch,PS3,2011.0,Role-Playing,Namco Bandai Games,0.6,0.47,0.21,0.23,1.51,85.0,89.0,8.6,984.0,Level 5,E10+,"Wrath of the White Witch,Ni no Kuni: Wrath of the White Witch,Ni no Kuni"
361,Star Wars: The Force Unleashed II,PS3,2010.0,Action,LucasArts,0.8,0.49,0.0,0.21,1.5,63.0,41.0,6.8,121.0,LucasArts,T,"Star Wars: The Force Unleashed II,Star Wars: The Force Unleashed,The Force Unleashed II,Star Wars"
362,Dead Rising 2,Xbox 360,2010.0,Action,Capcom,0.75,0.52,0.09,0.12,1.49,79.0,76.0,6.9,216.0,Blue Castle Games,M,"Dead Rising 2,Dead Rising"
363,Mafia II,PS3,2010.0,Action,Take-Two Interactive,0.5,0.69,0.04,0.26,1.49,75.0,61.0,7.7,297.0,2K Czech,M,"Mafia II,Mafia"
364,Batman: Arkham Knight,Xbox One,2015.0,Action,Warner Bros. Interactive Entertainment,0.88,0.47,0.0,0.14,1.49,85.0,16.0,6.6,694.0,Rocksteady Studios,M,"Batman,Arkham Knight,Batman: Arkham Knight"
365,Doom (2016),PS4,2016.0,Shooter,Bethesda Softworks,0.54,0.69,0.02,0.24,1.49,,,,,,,"Doom (2016),Doom"
366,Resistance 3,PS3,2011.0,Shooter,Sony Computer Entertainment,0.64,0.57,0.05,0.22,1.48,83.0,91.0,7.8,543.0,Insomniac Games,M,"Resistance 3,Resistance"
367,LEGO Star Wars III: The Clone Wars,Xbox 360,2011.0,Action,LucasArts,0.84,0.51,0.0,0.13,1.48,75.0,43.0,7.8,42.0,Traveller's Tales,E10+,"The Clone Wars,LEGO Star Wars III: The Clone Wars,LEGO Star Wars III,Star Wars"
368,LEGO City Undercover,3DS,2013.0,Platform,Nintendo,0.52,0.77,0.07,0.11,1.47,,,,,,,LEGO City Undercover
369,Call of Duty Black Ops: Declassified,Vita,2012.0,Action,Activision,0.71,0.43,0.07,0.26,1.47,33.0,58.0,4.8,479.0,Nihilistic,M,"Call of Duty Black Ops: Declassified,CoD,Call of Duty Black Ops,Declassified"
370,Tom Clancy's Ghost Recon: Future Soldier,Xbox 360,2012.0,Shooter,Ubisoft,0.93,0.4,0.02,0.12,1.47,79.0,75.0,7.2,334.0,Ubisoft Paris,M,"Future Soldier,Tom Clancy's Ghost Recon: Future Soldier,Tom Clancy's Ghost Recon,Tom Clancy's"
371,Super Scribblenauts,DS,2010.0,Puzzle,Warner Bros. Interactive Entertainment,1.06,0.29,0.0,0.11,1.46,81.0,53.0,8.2,46.0,5TH Cell,E10+,Super Scribblenauts
372,Dragon Quest VII: Warriors of Eden,3DS,2013.0,Role-Playing,Square Enix,0.06,0.09,1.3,0.01,1.46,,,,,,,"Warriors of Eden,Dragon Quest VII,Dragon Quest VII: Warriors of Eden"
373,Homefront,Xbox 360,2011.0,Shooter,THQ,0.83,0.48,0.02,0.12,1.45,70.0,85.0,6,399.0,Kaos Studios,M,Homefront
374,Madden NFL 15,PS3,2014.0,Sports,Electronic Arts,1.08,0.11,0.0,0.27,1.45,,,2.7,13.0,EA Sports,E,"Madden NFL 15,Madden,Madden NFL"
375,Mass Effect 2,PS3,2011.0,Role-Playing,Electronic Arts,0.78,0.45,0.03,0.19,1.45,94.0,62.0,8.5,1081.0,BioWare,M,"Mass Effect,Mass Effect 2"
376,LEGO Battles: Ninjago,DS,2011.0,Strategy,Warner Bros. Interactive Entertainment,1.02,0.32,0.0,0.11,1.45,59.0,14.0,6.9,11.0,Hellbent Games,E,"LEGO Battles,LEGO Battles: Ninjago,Ninjago"
377,NBA 2K14,PS4,2013.0,Sports,Take-Two Interactive,0.89,0.31,0.01,0.23,1.45,85.0,20.0,6.5,368.0,Visual Concepts,E,"NBA,NBA 2K14"
378,Sonic & Sega All-Stars Racing,Wii,2010.0,Racing,Sega,0.61,0.68,0.0,0.15,1.44,,,,,,,"Sonic & Sega All-Stars Racing,Sonic"
379,Disney Infinity,Xbox 360,2013.0,Action,Disney Interactive Studios,0.97,0.34,0.0,0.13,1.44,74.0,38.0,6.5,79.0,Avalanche Software,E10+,Disney Infinity
380,Star Wars: The Force Unleashed II,Xbox 360,2010.0,Action,LucasArts,0.95,0.37,0.0,0.11,1.43,61.0,59.0,5.7,180.0,LucasArts,T,"Star Wars: The Force Unleashed II,Star Wars: The Force Unleashed,The Force Unleashed II,Star Wars"
381,Kinect Joy Ride,Xbox 360,2010.0,Racing,Microsoft Game Studios,0.92,0.39,0.0,0.12,1.43,52.0,46.0,5,20.0,BigPark,E,Kinect Joy Ride
382,Mass Effect 3,PS3,2012.0,Role-Playing,Electronic Arts,0.63,0.56,0.03,0.2,1.42,93.0,30.0,5.5,1849.0,BioWare,M,"Mass Effect,Mass Effect 3"
383,SimCity (2013),Windows,2013.0,Simulation,Electronic Arts,0.48,0.77,0.0,0.17,1.42,64.0,75.0,2.2,4572.0,Maxis,E10+,"SimCity,SimCity (2013)"
384,Dead Space 2,PS3,2011.0,Shooter,Electronic Arts,0.73,0.48,0.0,0.21,1.42,89.0,78.0,8.4,535.0,Visceral Games,M,"Dead Space,Dead Space 2"
385,Metal Gear Rising: Revengeance,PS3,2013.0,Action,Konami Digital Entertainment,0.45,0.37,0.44,0.16,1.42,80.0,61.0,7.9,746.0,PlatinumGames,M,"MGS,Metal Gear Rising: Revengeance,Revengeance,Metal Gear Rising"
386,Dragon Quest Monsters: Joker 2,DS,2010.0,Role-Playing,Square Enix,0.09,0.07,1.24,0.02,1.41,77.0,33.0,7.3,15.0,TOSE,E,"Dragon Quest Monsters,Dragon Quest Monsters: Joker 2,Joker 2,Dragon Quest Monsters: Joker"
387,UFC Undisputed 2010,PS3,2010.0,Fighting,THQ,0.8,0.4,0.02,0.18,1.41,85.0,54.0,7.2,48.0,Yuke's,T,"UFC Undisputed,UFC Undisputed 2010"
388,Medal of Honor: Warfighter,PS3,2012.0,Action,Electronic Arts,0.48,0.62,0.06,0.26,1.41,55.0,22.0,6,250.0,Danger Close,M,"Warfighter,Medal of Honor,Medal of Honor: Warfighter"
389,The Sims 3,Wii,2010.0,Simulation,Electronic Arts,0.57,0.69,0.0,0.14,1.41,,,2.5,31.0,The Sims Studio,T,"The Sims,The Sims 3,Sims"
390,Diablo III,Xbox 360,2013.0,Role-Playing,Activision,0.9,0.39,0.0,0.12,1.41,87.0,42.0,6.6,384.0,Blizzard Entertainment,M,"Diablo III,Diablo"
391,Tomb Raider (2013),PS4,2014.0,Action,Square Enix,0.47,0.65,0.06,0.22,1.4,,,,,,,"Tomb Raider,Tomb Raider (2013)"
392,Forza Horizon 2,Xbox One,2014.0,Racing,Microsoft Game Studios,0.5,0.78,0.01,0.11,1.4,86.0,85.0,8.2,977.0,Playground Games,E10+,"Forza Horizon,Forza Horizon 2"
393,Injustice: Gods Among Us,Xbox 360,2013.0,Fighting,Warner Bros. Interactive Entertainment,0.97,0.3,0.0,0.11,1.38,81.0,63.0,7.9,362.0,NetherRealm Studios,T,"Injustice,Gods Among Us,Injustice: Gods Among Us"
394,Yoshi's New Island,3DS,2014.0,Platform,Nintendo,0.48,0.53,0.28,0.09,1.38,64.0,71.0,6.1,155.0,Arzest,E,Yoshi's New Island
395,LEGO Batman 2: DC Super Heroes,Wii,2012.0,Action,Warner Bros. Interactive Entertainment,0.9,0.37,0.0,0.11,1.38,,,7.1,12.0,TT Games,E10+,"Batman,DC Super Heroes,LEGO Batman 2: DC Super Heroes,LEGO Batman 2"
396,Toy Story 3: The Video Game,Wii,2010.0,Action,Disney Interactive Studios,0.63,0.62,0.0,0.14,1.38,,,,,,,"Toy Story 3: The Video Game,Toy Story 3,The Video Game"
397,Bravely Default: Flying Fairy,3DS,2012.0,Role-Playing,Nintendo,0.5,0.32,0.49,0.08,1.38,,,,,,,"Flying Fairy,Bravely Default,Bravely Default: Flying Fairy"
398,Ryse: Son of Rome,Xbox One,2013.0,Action,Microsoft Game Studios,0.83,0.43,0.0,0.13,1.38,60.0,77.0,6.1,1409.0,Crytek,M,"Son of Rome,Ryse: Son of Rome,Ryse"
399,Mortal Kombat X,Xbox One,2015.0,Fighting,Warner Bros. Interactive Entertainment,1.03,0.21,0.0,0.14,1.38,86.0,21.0,7.3,279.0,"Warner Bros. Interactive Entertainment, NetherRealm Studios",M,"Mortal Kombat,Mortal Kombat X"
400,Rise of the Tomb Raider,Xbox One,2015.0,Adventure,Square Enix,0.55,0.7,0.02,0.11,1.38,86.0,102.0,8,1288.0,Crystal Dynamics,M,"Rise of the Tomb Raider,Tomb Raider"
401,Sonic Generations,Xbox 360,2011.0,Platform,Sega,0.71,0.53,0.0,0.13,1.38,77.0,49.0,8.3,340.0,"Sega, Sonic Team",E,"Sonic Generations,Sonic"
402,Deus Ex: Human Revolution,Xbox 360,2011.0,Shooter,Square Enix,0.76,0.47,0.02,0.12,1.37,89.0,70.0,8.3,684.0,Eidos Montreal,M,"Deus Ex,Deus Ex: Human Revolution,Human Revolution"
403,Call of Duty: Black Ops,Wii,2010.0,Shooter,Activision,0.8,0.45,0.0,0.12,1.37,80.0,25.0,5.8,87.0,Treyarch,M,"Black Ops,Call of Duty: Black Ops,Call of Duty,CoD"
404,Deus Ex: Human Revolution,PS3,2011.0,Shooter,Square Enix,0.5,0.59,0.07,0.22,1.37,89.0,50.0,8.2,682.0,Eidos Montreal,M,"Deus Ex,Deus Ex: Human Revolution,Human Revolution"
405,Dead Rising 2,PS3,2010.0,Action,Capcom,0.43,0.56,0.15,0.21,1.36,80.0,54.0,6.7,178.0,Blue Castle Games,M,"Dead Rising 2,Dead Rising"
406,Need for Speed: The Run,Xbox 360,2011.0,Action,Electronic Arts,0.63,0.57,0.0,0.15,1.36,68.0,65.0,6,160.0,Black Box,T,"Need for Speed,Need for Speed: The Run,The Run"
407,Titanfall,Xbox 360,2014.0,Shooter,Electronic Arts,0.87,0.34,0.02,0.13,1.36,83.0,21.0,5.9,371.0,Bluepoint Games,M,Titanfall
408,WWE '13,PS3,2012.0,Action,THQ,0.51,0.6,0.0,0.25,1.35,76.0,24.0,8.1,99.0,THQ,T,"WWE '13,WWE"
409,Middle-Earth: Shadow of Mordor,Xbox One,2014.0,Action,Warner Bros. Interactive Entertainment,0.73,0.5,0.01,0.12,1.35,87.0,12.0,8,585.0,Monolith Productions,M,"Middle-Earth: Shadow of Mordor,Middle-Earth,Shadow of Mordor"
410,Battlefield 4,Windows,2013.0,Shooter,Electronic Arts,0.39,0.87,0.0,0.1,1.35,81.0,52.0,6,3517.0,EA DICE,M,"Battlefield,Battlefield 4"
411,Gears of War 4,Xbox One,2016.0,Shooter,Microsoft Game Studios,0.78,0.44,0.0,0.12,1.35,84.0,96.0,6.2,815.0,The Coalition,M,"Gears,Gears of War 4,Gears of War"
412,Metroid: Other M,Wii,2010.0,Action,Nintendo,0.85,0.27,0.13,0.1,1.34,79.0,71.0,6.5,482.0,Team Ninja,T,"Metroid,Metroid: Other M,Other M"
413,Crysis 2,Xbox 360,2011.0,Action,Electronic Arts,0.71,0.49,0.02,0.12,1.34,84.0,72.0,7.5,533.0,Crytek,M,"Crysis 2,Crysis"
414,Marvel vs. Capcom 3: Fate of Two Worlds,PS3,2011.0,Fighting,Capcom,0.81,0.28,0.11,0.14,1.34,84.0,56.0,7.3,147.0,Capcom,T,"Marvel vs. Capcom 3: Fate of Two Worlds,Marvel,Marvel vs. Capcom 3,Fate of Two Worlds"
415,Tom Clancy's Rainbow Six: Siege,Xbox One,2015.0,Shooter,Ubisoft,0.77,0.45,0.0,0.12,1.34,74.0,24.0,6.9,252.0,Ubisoft Montreal,M,"Siege,Tom Clancy's Rainbow Six: Siege,Tom Clancy's,Tom Clancy's Rainbow Six"
416,F1 2010,PS3,2010.0,Racing,Codemasters,0.25,0.75,0.08,0.26,1.34,84.0,46.0,7.8,83.0,Codemasters Birmingham,E,"F1 2010,F1"
417,NBA 2K15,PS3,2014.0,Sports,Take-Two Interactive,0.87,0.21,0.02,0.24,1.34,,,3.5,22.0,Visual Concepts,E,"NBA 2K15,NBA"
418,Alan Wake,Xbox 360,2010.0,Action,Microsoft Game Studios,0.66,0.5,0.05,0.13,1.33,83.0,100.0,8.1,1156.0,Remedy Entertainment,T,Alan Wake
419,The Elder Scrolls V: Skyrim,PS4,2016.0,Role-Playing,Bethesda Softworks,0.48,0.59,0.04,0.21,1.33,,,,,,,"The Elder Scrolls V: Skyrim,Elder Scrolls,Skyrim,The Elder Scrolls V"
420,Skylanders SWAP Force,Xbox 360,2013.0,Platform,Activision,0.86,0.34,0.0,0.12,1.32,83.0,37.0,5.7,45.0,Vicarious Visions,E10+,Skylanders SWAP Force
421,UFC Undisputed 2010,Xbox 360,2010.0,Fighting,THQ,0.9,0.31,0.0,0.11,1.32,84.0,70.0,6.7,80.0,Yuke's,T,"UFC Undisputed,UFC Undisputed 2010"
422,Assassin's Creed III: Liberation,Vita,2012.0,Action,Ubisoft,0.53,0.48,0.06,0.24,1.32,70.0,71.0,7.2,318.0,Ubisoft,M,"Assassin's Creed,Assassin's Creed III,Liberation,Assassin's Creed III: Liberation"
423,Your Shape: Fitness Evolved,Xbox 360,2010.0,Sports,Ubisoft,0.79,0.41,0.0,0.11,1.32,73.0,32.0,7.5,25.0,Ubisoft Montreal,E,"Fitness Evolved,Your Shape,Your Shape: Fitness Evolved"
424,The ICO & Shadow of the Colossus Collection,PS3,2011.0,Adventure,Sony Computer Entertainment,0.67,0.34,0.13,0.17,1.31,,,,,,,The ICO & Shadow of the Colossus Collection
425,MAG: Massive Action Game,PS3,2010.0,Shooter,Sony Computer Entertainment,0.77,0.29,0.09,0.16,1.31,,,,,,,"MAG: Massive Action Game,MAG,Massive Action Game"
426,Rage,PS3,2011.0,Shooter,Bethesda Softworks,0.47,0.58,0.06,0.2,1.31,81.0,37.0,6.2,353.0,id Software,M,Rage
427,LEGO Harry Potter: Years 1-4,PS3,2010.0,Action,Warner Bros. Interactive Entertainment,0.55,0.55,0.0,0.21,1.31,79.0,42.0,8,52.0,Traveller's Tales,E10+,"LEGO Harry Potter: Years 1-4,Years 1-4,LEGO Harry Potter"
428,The Witcher 3: Wild Hunt,Xbox One,2015.0,Role-Playing,Namco Bandai Games,0.69,0.5,0.0,0.11,1.31,91.0,13.0,9.2,3963.0,CD Projekt Red Studio,M,"Witcher,Wild Hunt,The Witcher 3,The Witcher 3: Wild Hunt"
429,Yoshi's Woolly World,Wii U,2015.0,Platform,Nintendo,0.62,0.47,0.11,0.1,1.3,78.0,83.0,8.5,376.0,Good-Feel,E,Yoshi's Woolly World
430,Skylanders Giants,Xbox 360,2012.0,Action,Activision,0.75,0.44,0.0,0.11,1.3,80.0,35.0,6.6,38.0,Toys for Bob,E10+,Skylanders Giants
431,Assassin's Creed Syndicate,Xbox One,2015.0,Action,Ubisoft,0.62,0.56,0.0,0.11,1.3,78.0,22.0,6.1,402.0,Ubisoft Quebec,M,"Assassin's Creed,Assassin's Creed Syndicate"
432,Far Cry 4,PS3,2014.0,Shooter,Ubisoft,0.34,0.68,0.08,0.19,1.29,,,7.3,113.0,Ubisoft Montreal,M,"Far Cry,Far Cry 4"
433,Pokemon Ranger: Guardian Signs,DS,2010.0,Role-Playing,Nintendo,0.5,0.16,0.58,0.05,1.29,68.0,25.0,8.2,25.0,Creatures Inc.,E,"Guardian Signs,Pokemon,Pokemon Ranger: Guardian Signs,Pokemon Ranger"
