Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,keywords,release date,mentions before,total posts before,normalized mentions before,upvotes before,mentions after,total posts after,normalized mentions after,upvotes after,month
Diablo III,Windows,2012,Role-Playing,Activision,4.88,4.32,0.0,1.08,10.28,88.0,172.0,4.0,19258.0,Blizzard Entertainment,M,"Diablo III,Diablo",5/15/2012,387,45213,0.008559485,12375,3637,47782,0.076116529,79904,May
Fable III,Xbox 360,2010,Role-Playing,Microsoft Game Studios,7.18,2.16,0.1,0.76,10.2,80.0,176.0,6.5,1208.0,Lionhead Studios,M,"Fable,Fable III",10/26/2010,61,11587,0.0052645209999999994,1865,119,12925,0.009206963,793,Oct
FIFA Soccer 11,PS3,2010,Sports,Electronic Arts,2.56,11.11,0.15,3.56,17.39,,,6.114285714,,EA Sports,E,"FIFA Soccer,FIFA Soccer 11",9/28/2010,2,11797,0.000169535,9,8,11587,0.0006904289999999999,6,Sep
StarCraft II: Wings of Liberty,Windows,2010,Strategy,Activision,5.14,3.36,0.0,1.16,9.68,93.0,164.0,8.2,6104.0,Blizzard Entertainment,T,"StarCraft II,StarCraft II: Wings of Liberty,Wings of Liberty",7/27/2010,15,10629,0.0014112329999999998,15,173,10224,0.01692097,1804,Jul
God of War III,PS3,2010,Action,Sony Computer Entertainment,5.48,2.66,0.24,1.22,9.6,92.0,202.0,8.7,5266.0,SCE Santa Monica,M,"God of War,God of War III",3/16/2010,116,10732,0.010808796,584,0,11011,0.0,0,Mar
Luigi's Mansion: Dark Moon,3DS,2013,Action,Nintendo,3.6,2.78,2.22,0.58,9.18,86.0,148.0,8.4,916.0,Next Level Games,E,"Dark Moon,Luigi's Mansion,Luigi's Mansion: Dark Moon",3/24/2013,19,48188,0.00039428900000000003,397,44,48711,0.000903287,1677,Mar
Forza Motorsport 4,Xbox 360,2011,Racing,Microsoft Game Studios,4.16,3.94,0.12,0.92,9.14,91.0,166.0,8.2,1234.0,Turn 10,E,"Forza Motorsport,Forza Motorsport 4",10/13/2011,33,28485,0.0011585039999999999,264,23,42652,0.000539248,22,Oct
Halo 5: Guardians,Xbox One,2015,Shooter,Microsoft Game Studios,5.56,2.54,0.06,0.82,8.96,84.0,202.0,6.4,4876.0,343 Industries,T,"Halo,Halo 5: Guardians,Halo 5,Guardians",10/27/2015,69,31978,0.002157733,391,670,41970,0.015963783999999998,49596,Oct
Call of Duty: Infinite Warfare,PS4,2016,Shooter,Activision,4.72,4.82,0.3,1.65,11.48,76.25,197.0,3.225,2988.0,Infinity Ward,M,"Infinite Warfare,Call of Duty: Infinite Warfare,CoD,Call of Duty",11/4/2016,328,42264,0.007760741999999999,8651,784,47068,0.016656752,36204,Nov
Splatoon,Wii U,2015,Shooter,Nintendo,3.08,2.36,2.92,0.52,8.86,81.0,176.0,8.5,2368.0,Nintendo,E10+,Splatoon,5/29/2015,90,30679,0.002933603,485,169,38154,0.004429418,22709,May
